created_at,user,followers_count,location,retweet_count,retweeted,userRT,full_text
2021-06-22 01:40:24,gsahagun55,2897.0,ÜT: 20.863855 & -102.755838,0.0,0.0,,4204 Pregunta del #CrucigramaDeportivo relacionada con Papu GómezRenato Ibarra Di María Paraguay Dinamarca deGrom Chile Tatum Nahuel #EURO2020 #CopaAmerica2021 #CopaAmerica #Tokyo2020 #TokyoOlympics Molina Julián Álvarez Correa Vidal Scaloni Vargas Nandez El Kun Bravo Torres
2021-06-23 16:35:03,futbolecuador,260369.0,Ecuador,1.0,0.0,,“¡Ponerse esta camiseta es lo mejor que le puede pasar a un jugador!” (VIDEO) https://t.co/TRfEMxrMPI https://t.co/3GKCj7kMm0
2021-06-20 22:49:40,GolazoDeAmerica,10972.0,Brasil,0.0,0.0,,#CopaAmérica | Minuto 87Cambio en #Ecuador 🇪🇨 se retira el autor del primer gol Ayrton Preciado e ingresa Fidel Martínez #Venezuela 🇻🇪 1 🆚 2 #Ecuador 🇪🇨Sigue EN VIVO el partido en ▶️ https://t.co/wfIR8jtgBL#GolazoDeAmérica#VibraElContinente https://t.co/CEqX0lzY9i
2021-06-23 20:57:31,segurruiz,294.0,Guayaquil,7.0,0.0,RadioDibluFM,RT ¡GONZALO PLATA NI A LA BANCA DE SUPLENTES!Tampoco van a la banca de suplentes de @LaTri:13. Enner Valencia24. Luis Fernando León25. José Carabali28. José Andrés Hurtado🇪🇨 @LaTri 🆚 @SeleccionPeru 🇵🇪⌚️ 16H00🏟 Pedro Ludovico🏆 @CopaAmerica https://t.co/ZKsloAPyqf
2021-06-24 14:58:32,nandarodrigz,137.0,,73.0,0.0,almadismo,RT Me llega la información que ha vuelto la inmadurez y el ser acomplejado a la selección Ecuatoriana. Molestias porque están los nacionalizados: Hernán Galíndez-Damian Díaz y un niño Rico que no baila salsa choke: Leonardo Campana.Bien lo dijo este señor...que pena.#Ecuador https://t.co/C9MqZyk1cj
2021-06-24 17:58:54,McgMedios,6.0,Riobamba-Ecuador,0.0,0.0,,#MCG_TVNO ES EL TÉCNICO SON LOS JUGADORESGustavo Alfaro director técnico del equipo ecuatoriano arremetió en contra del arbitraje español por no  sancionar el penal de Fidel Martínez.#Deportes  #Ecuador #CopaAmerica https://t.co/0sfWdrfL1C
2021-06-23 21:51:42,WQRadio_EC,22563.0,Guayaquil - Ecuador.,1.0,0.0,,#WQSport/Hernán Galíndez portero de Universidad Católica nacido en Argentina y nacionalizado en Ecuador desde el 2019 fue convocado por el estratega Gustavo Alfaro a la Selección de Ecuador para encarar los partidos de Copa América.#HernánGalíndez #Tricolor #WQRadio https://t.co/hyYciOpdcx
2021-06-28 01:40:13,SantiagoPuebl14,123.0,Quito - Ecuador,5.0,0.0,PetronioVV,RT Jhegson Sebastián Méndez el mejor y más constante punto individual de Ecuador durante toda la Copa América. Fue capaz de obviar el contexto -el colectivo casi nunca lo acompañó- y aún así continuó comiéndose la mitad de la cancha. Está en todos lados. Qué jugadorazo por favor.
2021-06-24 18:31:43,elvismoreirav,617.0,Portoviejo-Ecuador,37.0,0.0,LaPizarraDelDT_,"RT Pese a la remontada de Perú Ecuador 🇪🇨 mostró cierta mejora en sus fases con balón a partir de tres futbolistas:📌 Jhegson Méndez📌 Moisés Caicedo📌 ""Kitu"" DíazAbrimos hilo para analizar cómo estos tres jugadores le ofrecieron soluciones por dentro: https://t.co/cEtCkuAO8R"
2021-06-25 22:30:28,DesdeHistoria,268.0,Ecuador,26.0,0.0,eluniversocom,RT Jacinto Espinoza cuestiona participación de naturalizados Damián Díaz y Hernán Galíndez en Copa América en detrimento de futbolistas nacidos en Ecuador ► https://t.co/R06ZA7WOOO https://t.co/Wz6Y2L7mKa
2021-06-27 20:59:00,Andres_Risco_,455.0,Ecuador - El Oro - Machala,172.0,0.0,pilumeneses,RT Lo veo a Hernán Galindez cantando el himno y es imposible creer que “sólo esté pensando en tomar mate”. -VAMOS ECUADOR 💪🇪🇨
2021-06-26 22:11:39,lagaceta_ec,127.0,,0.0,0.0,,La Supercopa se va con los Albos ⚪⚪#LDUQ se corona Supercampeon del #Ecuador al derrotar a #BarcelonaSC por 1-0 El gol lo marco Beder Caicedo en contra#SuperCopaEcuador 🏆#SuperCopaEcuador2021 🇪🇨 https://t.co/TOKu58hnDj
2021-06-27 22:34:07,BenditoFutbolEC,39694.0,,0.0,0.0,,71' Entra Gonzalo Plata en reemplazo de Diego Palacios. @CBF_Futebol 1-1 @LaTri @CopaAmerica
2021-06-28 19:46:20,JorgeLuisJumbo5,311.0,Quito-Ecuador,1.0,0.0,cceli82,RT Me imagino que sí Carlos Gruezo viaja a Brasil; será para ser titular en cuartos de final de la #CopaAmerica. La verdad que si hizo falta en todos estos partidos.
